dependent,independent,corr,eg_stat,eg_pvalue,beta,half_life,cointegrated,tradeable_hl,candidate
AAVE-USD,LTC-USD,0.8419954856790516,-3.3788021041008305,0.04707666400420835,1.4365880848054757,17.672283757175165,True,True,True
AAVE-USD,LINK-USD,0.8048915810170373,-3.2384999439925317,0.06701544699956573,1.1111668129968728,30.280625036060588,False,True,False
ADA-USD,LTC-USD,0.9159578719448281,-3.2235212826252155,0.0695846856560522,1.5078131949341567,11.776714650710533,False,True,False
ETC-USD,UNI-USD,0.8919176230546735,-3.161360327941732,0.08024694203400819,0.5748776487879483,18.469615536124795,False,True,False
AAVE-USD,ADA-USD,0.8078105124939586,-3.1330022996947684,0.08511109782250968,0.8372592561164831,33.76168926687672,False,True,False
LTC-USD,LINK-USD,0.8984294667251222,-3.126113631045155,0.08629268764234047,0.7269480361778491,14.268681434806059,False,True,False
ALGO-USD,AAVE-USD,0.7755419350898244,-3.0825799303662853,0.09375987472276408,0.7510810076027933,40.55675380356812,False,True,False
AAVE-USD,BTC-USD,0.8832588786001314,-3.0785819115578255,0.09444564124222546,1.4561477241766627,25.34451458154088,False,True,False
LTC-USD,XLM-USD,0.9181682743394983,-3.0197901703893533,0.10346790487960693,0.3536627454980927,9.17354905430609,False,True,False
AAVE-USD,BCH-USD,0.699632030685424,-2.961964032468944,0.11106112107295067,1.2539186866604,33.952880481940085,False,True,False
AAVE-USD,XLM-USD,0.8453810244166615,-2.9357224581641717,0.1145069321562377,0.5555741416383834,24.522181735589953,False,True,False
ETC-USD,AVAX-USD,0.8964915066049063,-2.884966092307691,0.12117180850795203,0.6602550370729796,16.188040542659458,False,True,False
AAVE-USD,SOL-USD,0.5881449054417031,-2.8594289042010193,0.12452512583533328,1.1550704206030609,46.330571810084834,False,True,False
SOL-USD,LINK-USD,0.7882366733015237,-2.7167050703664843,0.14326635541113722,0.5540824455396282,21.24233381882387,False,True,False
ETC-USD,XTZ-USD,0.9418461308434983,-2.677103973948558,0.1484664205963419,0.6215642287132678,6.631735397278277,False,True,False
ALGO-USD,LTC-USD,0.8803854372965211,-2.6696914045251274,0.14943977355063653,1.4547113971977925,21.813625637114434,False,True,False
SOL-USD,UNI-USD,0.7537389467990583,-2.6275053034110547,0.15497927865392228,0.5191972197912118,23.26621747187752,False,True,False
ATOM-USD,DOT-USD,0.9659244400110638,-2.6265006482616364,0.1551112010686578,0.8171149670275876,8.868731021163592,False,True,False
SOL-USD,ETH-USD,0.7879714359657886,-2.580208178809525,0.16118991808685904,0.583122147378231,20.13790456426902,False,True,False
DOT-USD,FIL-USD,0.9144523799000714,-2.575922943642769,0.1617526172092746,0.740322136471681,29.437095187613426,False,True,False
ALGO-USD,ADA-USD,0.9325990577522595,-2.544442495861626,0.16588635075022964,0.9361100837861728,20.83763705656398,False,True,False
ADA-USD,LINK-USD,0.8747230316487828,-2.529639067171388,0.16783020587336508,1.1650967263645067,27.091743653540686,False,True,False
ETH-USD,BCH-USD,0.8123632013137884,-2.5274398221292884,0.16811899125083204,1.0017901281786123,34.6789281568899,False,True,False
ADA-USD,XLM-USD,0.9658688047806306,-2.4841357597190634,0.1738052971283483,0.6124310644163988,7.730494809535344,False,True,False
XLM-USD,LINK-USD,0.8359777866874815,-2.482779444119542,0.17398339647829533,1.7560912792739702,22.469184385166905,False,True,False
ATOM-USD,XTZ-USD,0.8520471866004959,-2.4306545774601926,0.18082797223292066,0.6299618488263551,17.01975389740112,False,True,False
ATOM-USD,FIL-USD,0.8725668305960426,-2.374982988529362,0.1881382721384857,0.5975831614257588,20.966890960625715,False,True,False
LTC-USD,BTC-USD,0.8558442616163373,-2.359160946321068,0.19021588256567948,0.8269698386695743,17.683962508005223,False,True,False
AVAX-USD,UNI-USD,0.8036120291723142,-2.354372922531177,0.19084460343625803,0.7032853387690119,27.932382624789195,False,True,False
SOL-USD,BCH-USD,0.7092946832490522,-2.3330795793214025,0.19364065664481614,0.6472950290400242,23.359140137509947,False,True,False
XTZ-USD,SOL-USD,0.6605955776374881,-2.3197036249467367,0.19539706848575447,0.9366317687471275,38.56937913666274,False,True,False
XTZ-USD,AVAX-USD,0.8607038439691641,-2.316841007394513,0.1957729620649316,0.9605350824874708,18.292548739316672,False,True,False
ATOM-USD,UNI-USD,0.7105768044746934,-2.315122062988761,0.19599867861745635,0.5131050070073326,30.107991118477777,False,True,False
